action,type,player_first,player_last,note,team,time
REBOUND,OFF,Robert,Carter,-,home,19:20
TURNOVR,-,Robert,Carter,-,home,18:43
REBOUND,DEF,Robert,Carter,-,home,17:33
ASSIST,-,Robert,Carter,-,home,16:39
REBOUND,OFF,Jake,Layman,-,home,19:41
MISSED,3 PTR,Jake,Layman,-,home,19:20
ASSIST,-,Jake,Layman,-,home,17:25
GOOD,LAYUP,Jake,Layman,PNT,home,16:39
SUB IN,-,Jared,Nickens,-,home,16:15
GOOD,LAYUP,Diamond,Stone,PNT,home,17:56
GOOD,LAYUP,Diamond,Stone,FB/PNT,home,17:25
STEAL,-,Rasheed,Sulaimon,-,home,19:43
MISSED,LAYUP,Rasheed,Sulaimon,-,home,19:41
MISSED,3 PTR,Rasheed,Sulaimon,-,home,19:16
REBOUND,DEF,Melo,Trimble,-,home,18:29
TURNOVR,-,Melo,Trimble,-,home,18:22
REBOUND,DEF,Melo,Trimble,-,home,18:16
FOUL,-,Melo,Trimble,P1T1,home,16:15
SUB OUT,-,Melo,Trimble,-,home,16:15
TURNOVR,-,Miles,Jackson,-,visitor,19:45
FOUL,-,Justin,Beck,P1T1,visitor,19:40
REBOUND,DEF,Miles,Jackson,-,visitor,19:16
REBOUND,DEF,-,(Team),-,home,19:02
MISSED,3 PTR,Andre,Jackson,-,visitor,19:02
MISSED,JUMPER,Justin,Beck,-,visitor,18:29
MISSED,3 PTR,Miles,Jackson,-,visitor,18:16
FOUL,-,Enuoma,Ebinum,P1T2,visitor,18:06
MISSED,JUMPER,Dayshawn,Wells,-,visitor,17:33
MISSED,LAYUP,Justin,Beck,-,visitor,17:10
REBOUND,OFF,Miles,Jackson,-,visitor,17:10
GOOD,TIP-IN,Miles,Jackson,PNT,visitor,17:06
FOUL,-,Dayshawn,Wells,P1T3,visitor,16:49
MISSED,JUMPER,Andre,Jackson,-,visitor,16:24
REBOUND,OFF,Justin,Beck,-,visitor,16:24
MISSED,FT SHOT,Enuoma,Ebinum,-,visitor,16:15
REBOUND,OFF,-,(Deadball),-,visitor,16:15
GOOD,FT SHOT,Enuoma,Ebinum,-,visitor,16:15
SUB IN,-,Julian,Livingston,-,visitor,16:15
SUB IN,-,Michael,Briscoe,-,visitor,16:15
SUB OUT,-,Miles,Jackson,-,visitor,16:15
FOUL,-,Enuoma,Ebinum,P2T4,visitor,15:50
TIMEOUT MEDIA,-,-,-,-,none,15:50
