Category,Rank,College,Volunteers,State
Large,1,University of Washington ,72,Washington
Large,2,University of Wisconsin-Madison ,68,Wisconsin
Large,3,University of Minnesota ,59,Minnesota
Large,3,University of Florida ,59,Florida
Large,5,University of Colorado Boulder ,53,Colorado
Large,6,University of Michigan ,48,Michigan
Large,7,Indiana University Bloomington ,47,Indiana
Large,8,Colorado State University ,43,Colorado
Large,8,"University of California, Santa Barbara ",43,California
Large,10,The Ohio State University ,42,Ohio
Large,11,University of Maryland ,41,Maryland
Large,12,University of North Carolina at Chapel Hill ,39,North Carolina
Large,13,"University of California, Berkeley ",37,California
Large,14,"University of California, Davis  ",36,California
Large,14,"University of California, S an Diego ",36,California
Large,16,University of Illinois at Urbana-Cha mpaign ,35,Illinois
Large,16,University of South Florida ,35,Florida
Large,16,"University of California, Los Angeles ",35,California
Large,16,University of Oregon ,35,Oregon
Large,16,James Madison University ,35,Virginia
Large,21,California Polytechnic State U niversity  ,34,California
Large,22,Arizona State University  ,33,Arizona
Large,22,Michigan State University  ,33,Michigan
Large,24,San Diego State University ,32,California
Large,24,"University of California, Sa nta Cruz ",32,California
Medium,1,The George Washington University ,43,District of Columbia
Medium,2,American University ,42,District of Columbia
Medium,3,Western Washington University ,41,Washington
Medium,4,Cornell University ,38,New York
Medium,5,University of Virginia ,36,Virginia
Medium,6,University of Vermont  ,31,Vermont
Medium,7,Georgetown University ,29,District of Columbia
Medium,8,Emory University ,27,Georgia
Medium,9,Humboldt State University ,25,California
Medium,10,University of Montana ,24,Montana
Medium,10,The College of William & Mary  ,24,Virginia
Medium,12,Tulane University ,19,Louisiana
Medium,13,University of New Hampshire ,18,New Hampshire
Medium,14,Montana State University  ,16,Montana
Medium,14,University of Wisconsin-Stevens Point  ,16,Wisconsin
Medium,14,Howard University ,16,District of Columbia
Medium,14,University of San Diego ,16,California
Medium,18,Fordham University ,15,New York
Medium,18,SUNY Geneseo  ,15,New York
Medium,20,University of Hawai'i at MÄÅnoa ,14,Hawaii
Medium,20,University of Minnesota Duluth ,14,Minnesota
Medium,20,University of Wisconsin-La Crosse ,14,Wisconsin
Medium,20,Boston College ,14,Massachusetts
Medium,20,Johns Hopkins University ,14,Maryland
Medium,25,University of Rhode Island ,13,Rhode Island
Medium,25,University of North Carolina Wilmington ,13,North Carolina
Medium,25,University of Miami ,13,Florida
Medium,25,University of Chicago  ,13,Illinois
Small,1,Gonzaga University ,18,Washington
Small,1,University of Puget Sound ,18,Washington
Small,3,Macalester College ,17,Minnesota
Small,4,The Evergreen State Colleg e ,13,Washington
Small,4,Carleton College ,13,Minnesota
Small,6,Middlebury College ,12,Vermont
Small,6,Willamette University  ,12,Oregon
Small,8,University of Mary Washington ,11,Virginia
Small,8,Dickinson College ,11,Pennsylvania
Small,8,Simmons College ,11,Massachusetts
Small,11,University of North Carolina at Asheville ,10,North Carolina
Small,11,Gettysburg College ,10,Pennsylvania
Small,11,Saint Michael's College ,10,Vermont
Small,14,Bucknell University ,9,Pennsylvania
Small,14,University of Richmond ,9,Virginia
Small,14,Oberlin College ,9,Ohio
Small,14,St. Lawrence University ,9,New York
Small,14,Denison University ,9,Ohio
Small,14,Allegheny College ,9,Pennsylvania
Small,14,Bowdoin College ,9,Maine
Small,14,Kalamazoo College ,9,Michigan
Small,14,Knox College ,9,Illinois
Small,23,Wake Forest University ,8,North Carolina
Small,23,Drake University ,8,Iowa
Small,23,Seattle Pacific University ,8,Washington
Small,23,Smith College ,8,Massachusetts
Small,23,Stonehill College ,8,Massachusetts
Small,23,Whitworth University  ,8,Washington
Small,23,Wellesley College ,8,Massachusetts
Small,23,Clark University ,8,Massachusetts
Small,23,Lewis & Clark College  ,8,Oregon
Small,23,The College of Wooster ,8,Ohio
Small,23,Grinnell College ,8,Iowa
